sword	lorc/pointy-sword.svg
dagger	lorc/plain-dagger.svg
axe	lorc/battle-axe.svg
hammer	delapouite/warhammer.svg
mace	lorc/spiked-mace.svg
flail	delapouite/flail.svg
polearm	lorc/barbed-spear.svg
trident	lorc/trident.svg
scythe	lorc/scythe.svg
pick	lorc/mining.svg
staff	delapouite/bo.svg
unarmed	lorc/mailed-fist.svg
bow	delapouite/bow-arrow.svg
crossbow	skoll/ballista.svg
sling	delapouite/sling.svg
firearm	lorc/blunderbuss.svg
cannon	lorc/cannon.svg
thrown	delapouite/spear-feather.svg
pan	delapouite/cooking-pot.svg
rolling-pin	delapouite/dough-roller.svg
