arshran	lorc/anvil.svg
denora	delapouite/heart-wings.svg
axender	lorc/laurel-crown.svg
irrion	lorc/crown.svg
vorona	lorc/scales.svg
trenner	lorc/hourglass.svg
tulsadun	lorc/snake.svg
selenne	lorc/moon.svg
mirandia	delapouite/night-sleep.svg
solar	lorc/sun.svg
suelle	lorc/shining-heart.svg
forthur	lorc/punch.svg
gorom	lorc/stone-block.svg
melenna	lorc/paw.svg
mephistre	lorc/drama-masks.svg
ceres	delapouite/grain-bundle.svg
oumaros	lorc/feather.svg
ellona	lorc/octogonal-eye.svg
tyriolth	lorc/fireball.svg
