clothes	delapouite/clothes.svg
padded-armor	delapouite/fur-shirt.svg
leather-armor	lorc/leather-vest.svg
studded-armor	delapouite/leather-armor.svg
mail-shirt	lorc/mail-shirt.svg
heavy-mail	lorc/scale-mail.svg
plate-armor	lorc/breastplate.svg
full-plate	lorc/layered-armor.svg
small-shield	willdabeast/round-shield.svg
large-shield	lorc/bordered-shield.svg
rope	delapouite/rope-coil.svg
grapple	lorc/grapple.svg
tinderbox	delapouite/flint-spark.svg
quiver	delapouite/quiver.svg
blanket	delapouite/blanket.svg
lantern	lorc/lantern.svg
lamp-oil	delapouite/amphora.svg
torch	delapouite/torch.svg
writing-kit	lorc/quill-ink.svg
lockpicks	delapouite/lockpicks.svg
potion	delapouite/health-potion.svg
ration	lorc/meat.svg
mess-kit	delapouite/meal.svg
waterskin	delapouite/jug.svg
backpack	delapouite/backpack.svg
spellbook	lorc/book-aura.svg
instrument	delapouite/harp.svg
precious-metal	delapouite/gold-stack.svg
mug	lorc/beer-stein.svg
octopus	lorc/octopus.svg
scroll	lorc/tied-scroll.svg
gems	lorc/gems.svg
coins	delapouite/coins.svg
key	lorc/key.svg
chest	lorc/locked-chest.svg
pouch	lorc/swap-bag.svg
wand	lorc/crystal-wand.svg
tent	delapouite/camping-tent.svg
ring	delapouite/diamond-ring.svg
amulet	lorc/gem-pendant.svg
cloak	delapouite/cape-armor.svg
boots	lorc/leather-boot.svg
herbs	delapouite/herbs-bundle.svg
bandage	lorc/bandage-roll.svg
holy-symbol	lorc/holy-symbol.svg
